FHHRate,PctWhite,RenterRate,CarlessRate,PovertyRate,Income,Ride2Drive,NEAR_DIST,Emp_60min
20.90956749,10.3000002,15.90162276,4.187131448,7.23143824,77508.75688,5.939688488,227.6604622,7
8.080730602,32,60.88041941,15.39102318,47.02565915,12983.86516,7.059431041,765.7733579,2
12.83942453,28.1000004,18.00623874,2.515467921,9.757492851,77673.89721,6.697976277,685.7310294,4
16.4646484,20.3999996,1.789624284,6.220017689,5.927319765,63062.82294,7.778579656,1018.120239,2
9.256514648,24.3999996,1.060497654,12.97329612,13.59288742,31777.26703,7.923439245,1029.72927,1
35.06669505,0,20.89643486,0.819399378,2.31162459,53771.34213,7.673159913,918.3451405,1
2.127671632,30.6000004,37.1903384,28.3429136,100,22537.20443,7.360778478,522.5103886,3
15.01050391,9.3000002,43.74979445,9.943642508,11.17222834,41923.16008,7.204901889,244.7734469,7
30.59289153,51.0999985,38.19884593,12.55922867,50.15738787,64371.86556,9.09062236,311.9451793,8
39.38546575,56,43.89527886,7.512165717,25.83837118,18522.8462,7.784519985,480.9415031,16
32.48208555,5.5999999,68.00737587,14.6203037,29.71094969,23041.62155,6.904675295,125.963582,5
9.933552176,87.9000015,94.10568307,27.46335684,41.8408875,25681.30426,9.207583459,394.281867,6
11.85258242,71.6999969,40.66442661,5.733055458,31.47138977,56360.05412,7.381853815,335.8418455,3
35.18816516,0,55.50011437,84.95481764,5.546022751,21004.33182,6.45720932,176.5868251,1
20.7747102,0,51.61586228,20.1478493,46.15284078,36523.17403,7.792248543,162.3198485,1
3.321886926,4.0999999,35.32392258,9.01981809,28.21178405,44301.77303,5.154164511,189.3585053,3
3.542549076,6.1999998,28.46628703,8.082216417,5.607112827,14214.75001,4.279934322,539.8912651,9
30.83255029,0,44.05798139,7.699983776,55.43444211,24519.6485,7.911977428,510.0111403,0
3.740329659,91,5.359414109,1.534996738,2.981726372,142871.2306,5.400963934,253.4160086,22
30.22439223,5.3000002,39.05700831,22.00028747,42.33096712,24908.83199,8.97733568,289.0323441,0
20.07131061,5.6999998,48.69978644,17.72923445,6.87832868,30237.82905,4.816625507,127.9545314,0
25.11811663,23.7000008,45.20880143,4.898383041,57.36210585,45148.36266,4.806397762,422.2776324,7
44.38432297,34,45.29580223,5.310122676,49.13889852,72651.48421,5.644384748,311.4787352,0
37.64792095,18.2000008,41.58155877,20.23822685,14.50908671,45310.09459,5.731001399,96.25112082,3
9.063715966,93.8000031,33.0718355,10.98963269,17.38918433,33410.7266,5.817280343,93.38053927,2
26.13523404,3.5999999,38.65601341,6.890848065,48.39633023,27781.13155,4.215711975,71.26116466,1
32.52405253,16.2000008,46.08213,16.40641035,6.853500364,67417.92237,4.607684465,328.858708,1
40.15388696,9.8999996,10.45465524,5.524031618,6.394898335,49593.19584,4.73630348,229.6500487,34
33.13577768,28.6000004,6.803339252,2.008184964,31.80093811,44150.30179,5.303015581,538.5715202,2
41.01516645,0,68.39007467,11.9847286,12.28326287,30786.6496,7.915158424,160.0951792,2
56.06879494,0,61.21553431,1.43525862,23.29842526,8280.710235,9.032158943,157.5069754,5
51.55992118,6.6999998,51.33571039,4.829816653,15.23925087,11968.50834,7.601717566,62.11095433,5
0.817678767,84.6999969,98.22396677,11.73191615,73.23207967,20849.69247,6.663467456,158.290261,68
3.526588398,86.9000015,91.09597978,5.268015371,36.51001646,36765.86201,8.307257982,374.878381,47
0.193580786,96.5999985,44.54080933,10.19877508,8.878758615,32903.43567,9.447744784,595.1896074,6
32.19856788,0,66.89812592,95.24164171,63.48874667,26020.26261,9.877527918,256.7085263,9
25.42581337,0,74.1781577,27.23780939,77.65105765,26237.435,8.52937046,480.1456461,7
4.31623566,93.8000031,91.26876945,7.857666687,48.09892517,22971.23673,8.691468328,309.7802064,8
27.8724846,52.4000015,44.91827028,7.371148657,12.09473346,41068.62265,7.196028486,809.4086503,2
35.52816528,44.4000015,48.31443465,6.004277554,31.90149894,38466.80658,7.637008225,787.2954119,1
29.95936402,30.1000004,52.11954045,6.564582666,43.96053798,37288.74736,6.416851065,225.0785558,28
28.95041169,8.3000002,0.94684537,2.414719772,15.82467526,70730.11268,7.787937175,1178.669885,1
32.08820516,5.5999999,0.119719949,5.872883769,8.305122496,83616.33385,7.988838698,1346.343882,3
30.31573672,6.0999999,1.338905395,5.125005394,25.43392232,86022.99392,8.229317281,1604.444892,2
22.28354556,18.5,45.44288873,16.86443829,34.01489624,31578.58158,6.238227255,193.2585681,41
35.06905807,3.9000001,98.20245187,21.71469929,46.96070867,16836.94271,8.688701307,251.8782087,7
